month,location,damage_type,damage_cost,damage_reduction_pct,reduced_damage_cost
1.0,"(1, 1)",Erosion,0.0,0.4357,0.0
1.0,"(1, 1)",Erosion,0.0,0.188,0.0
1.0,"(1, 1)",Erosion,0.0,0.6846,0.0
1.0,"(1, 1)",Erosion,0.0,0.7293,0.0
1.0,"(1, 1)",Erosion,0.0,0.3889,0.0
1.0,"(1, 1)",Erosion,0.0,0.4201,0.0
1.0,"(1, 1)",Erosion,0.0,0.3864,0.0
1.0,"(1, 1)",Erosion,0.0,0.428,0.0
1.0,"(1, 1)",Erosion,0.0,0.6367,0.0
1.0,"(1, 1)",Erosion,0.0,0.2317,0.0
1.0,"(1, 1)",Erosion,0.0,0.6057,0.0
1.0,"(1, 1)",Erosion,0.0,0.7287,0.0
1.0,"(1, 1)",Erosion,0.0,0.3121,0.0
1.0,"(1, 1)",Erosion,0.0,0.3683,0.0
1.0,"(1, 1)",Erosion,0.0,0.3494,0.0
1.0,"(1, 1)",Erosion,0.0,0.653,0.0
1.0,"(1, 2)",Erosion,4636964.0,0.4357,4616760.747852
1.0,"(1, 2)",Erosion,4636964.0,0.188,4628246.50768
1.0,"(1, 2)",Erosion,4636964.0,0.6846,4605219.344456
1.0,"(1, 2)",Erosion,4636964.0,0.7293,4603146.621548
1.0,"(1, 2)",Erosion,4636964.0,0.3889,4618930.847004
1.0,"(1, 2)",Erosion,4636964.0,0.4201,4617484.114236
1.0,"(1, 2)",Erosion,4636964.0,0.3864,4619046.7711040005
1.0,"(1, 2)",Erosion,4636964.0,0.428,4617117.79408
1.0,"(1, 2)",Erosion,4636964.0,0.6367,4607440.450212
1.0,"(1, 2)",Erosion,4636964.0,0.2317,4626220.1544119995
1.0,"(1, 2)",Erosion,4636964.0,0.6057,4608877.909052
1.0,"(1, 2)",Erosion,4636964.0,0.7287,4603174.443332
1.0,"(1, 2)",Erosion,4636964.0,0.3121,4622492.035356
1.0,"(1, 2)",Erosion,4636964.0,0.3683,4619886.061588
1.0,"(1, 2)",Erosion,4636964.0,0.3494,4620762.447784
1.0,"(1, 2)",Erosion,4636964.0,0.653,4606684.62508
1.0,"(1, 3)",Erosion,4372894.0,0.4357,4353841.300842
1.0,"(1, 3)",Erosion,4372894.0,0.188,4364672.95928
1.0,"(1, 3)",Erosion,4372894.0,0.6846,4342957.167676
1.0,"(1, 3)",Erosion,4372894.0,0.7293,4341002.484058
1.0,"(1, 3)",Erosion,4372894.0,0.3889,4355887.815234
1.0,"(1, 3)",Erosion,4372894.0,0.4201,4354523.472306
1.0,"(1, 3)",Erosion,4372894.0,0.3864,4355997.137584
1.0,"(1, 3)",Erosion,4372894.0,0.428,4354178.01368
1.0,"(1, 3)",Erosion,4372894.0,0.6367,4345051.783902
1.0,"(1, 3)",Erosion,4372894.0,0.2317,4362762.004602
1.0,"(1, 3)",Erosion,4372894.0,0.6057,4346407.381042
1.0,"(1, 3)",Erosion,4372894.0,0.7287,4341028.721422
1.0,"(1, 3)",Erosion,4372894.0,0.3121,4359246.197826
1.0,"(1, 3)",Erosion,4372894.0,0.3683,4356788.631398
1.0,"(1, 3)",Erosion,4372894.0,0.3494,4357615.108364
1.0,"(1, 3)",Erosion,4372894.0,0.653,4344339.00218
1.0,"(1, 4)",Erosion,0.0,0.4357,0.0
1.0,"(1, 4)",Erosion,0.0,0.188,0.0
