Latitude/Longitude,Temperature (F),Temp min (F),Temp max (F),Precipitation (In),Precip Type,Humidity,Wind speed (Mph),Wind gust (Mph),Wind direction (cardinal),CAD 911 Number,Zone Number,ESZ,Date & Time,Event
27.44964845888914/-82.63872640241588,83,80,88,0.00135,rain,74.48,23.22,41.175000000000004,250.0,W50,W50,350,2027-09-19 00:00:00,Olivia
27.48566734980852/-82.57935903047095,83,80,88,0.0027,rain,74.5,23.22,41.175000000000004,250.0,W10,W10,310,2027-09-19 00:00:00,Olivia
27.58244732780023/-82.47046351483293,82,80,88,0.01215,rain,77.9,21.330000000000002,39.96000000000001,247.0,N30,N30,530,2027-09-19 00:00:00,Olivia
27.4920066298147/-82.50196786939364,83,80,88,0.0027,rain,74.56,23.085000000000004,40.905,250.0,E40,E40,140,2027-09-19 00:00:00,Olivia
27.51631940991088/-82.32950123468633,82,80,87,0.0108,rain,78.11,21.195,39.96000000000001,247.0,N40,N40,540,2027-09-19 00:00:00,Olivia
27.34076849562474/-82.154246879885,83,81,89,0.0027,rain,76.15,23.22,40.230000000000004,254.0,N60,N60,560,2027-09-19 00:00:00,Olivia
27.57521237910287/-82.52810297841918,82,80,88,0.01215,rain,75.11,22.680000000000003,40.230000000000004,248.0,N20,N20,520,2027-09-19 00:00:00,Olivia
27.43718857770742/-82.49526276632398,83,80,88,0.00135,rain,74.42,23.22,40.905,250.0,E50,E50,150,2027-09-19 00:00:00,Olivia
27.4113915222411/-82.63641742330496,83,80,88,0.00135,rain,74.43,23.22,41.31,250.0,W95,W95,395,2027-09-19 00:00:00,Olivia
27.42519527588937/-82.593902809873,83,80,88,0.0,,74.39,23.22,41.580000000000005,250.0,W40,W40,340,2027-09-19 00:00:00,Olivia
27.55013563136573/-82.17022585799779,81,81,87,0.016200000000000003,rain,81.26,19.305000000000003,38.88,244.0,N50,N50,550,2027-09-19 00:00:00,Olivia
27.48091629798749/-82.43623531900593,83,80,88,0.004050000000000001,rain,74.65,23.085000000000004,40.77,249.0,N70,N70,570,2027-09-19 00:00:00,Olivia
27.52844207484047/-82.73131060040626,82,80,87,0.0108,rain,75.05,22.815,40.365,248.0,W70,W70,370,2027-09-19 00:00:00,Olivia
27.42497082223545/-82.53885956314242,83,80,88,0.0,,74.37,23.22,41.04,250.0,E20,E20,120,2027-09-19 00:00:00,Olivia
27.48534636382016/-82.54659978322104,83,80,88,0.0027,rain,74.49,23.22,41.04,250.0,E10,E10,110,2027-09-19 00:00:00,Olivia
27.41355422392606/-82.42773936740639,83,80,88,0.0027,rain,74.53,23.085000000000004,40.905,250.0,N80,N80,580,2027-09-19 00:00:00,Olivia
27.40958230929196/-82.56607332708364,83,80,88,0.0,,74.36,23.22,42.255,250.0,E30,E30,130,2027-09-19 00:00:00,Olivia
27.46814086298033/-82.70183801706406,82,80,88,0.0054,rain,75.24,22.545,40.905,249.0,W90,W90,399,2027-09-19 00:00:00,Olivia
27.51337266681446/-82.7160042494716,82,80,87,0.008100000000000001,rain,74.92,22.815,40.5,249.0,W80,W80,380,2027-09-19 00:00:00,Olivia
27.50413881751056/-82.64579861863763,83,80,88,0.0054,rain,74.68,23.085000000000004,40.905,249.0,W60,W60,360,2027-09-19 00:00:00,Olivia
27.57521237910287/-82.58438613832386,82,80,88,0.01215,rain,75.1,22.680000000000003,40.230000000000004,248.0,N10,N10,510,2027-09-19 00:00:00,Olivia
27.4079906908935/-82.49381870885438,83,80,88,0.0,,74.4,23.22,40.905,250.0,E60,E60,160,2027-09-19 00:00:00,Olivia
27.43756032249264/-82.56105489081881,83,80,88,0.0,,74.38,23.22,41.31,250.0,W30,W30,330,2027-09-19 00:00:00,Olivia
27.45564167051887/-82.57125875181734,83,80,88,0.00135,rain,74.41,23.22,41.31,250.0,W20,W20,320,2027-09-19 00:00:00,Olivia
27.40958230929196/-82.56607332708364,83,80,88,0.0,,78.97,31.05,44.14500000000001,240.0,E30,E30,130,2027-09-18 22:40:00,Olivia
27.57521237910287/-82.58438613832386,82,80,88,0.01755,rain,80.91,28.755000000000003,43.470000000000006,237.0,N10,N10,510,2027-09-18 22:40:00,Olivia
27.45564167051887/-82.57125875181734,83,80,88,0.00135,rain,79.11,30.915,43.605,240.0,W20,W20,320,2027-09-18 22:40:00,Olivia
27.34076849562474/-82.154246879885,83,81,89,0.0,,79.59,26.19,43.470000000000006,236.0,N60,N60,560,2027-09-18 22:40:00,Olivia
27.48534636382016/-82.54659978322104,83,80,88,0.0027,rain,79.32,30.645,43.470000000000006,239.0,E10,E10,110,2027-09-18 22:40:00,Olivia
27.48091629798749/-82.43623531900593,82,80,88,0.006750000000000001,rain,79.74,30.24,43.470000000000006,239.0,N70,N70,570,2027-09-18 22:40:00,Olivia
