Project_ID,Investment_Type,Protection_Type,Description,Time_To_Build_Months,Total_Cost_USD,Monthly_Cost_USD,Area_Effect_Meters,Monthly_Cost_Distribution,Damage_Reduction_Pct,Property_Value_Increase_Pct,Insurance_Premium_Reduction_Pct,Lives_Saved_Per_Event,Cost_Benefit_Ratio,Total_Capital_Budget_2025_2027_USD,Budget_Constraint_Percentage
CP001,Drainage Improvements,Flooding,Enhanced drainage systems to prevent water accumulation,9,30284.76,3364.97,292,"[0.0, 2034.82, 3786.03, 5012.2, 5549.87, 5337.5, 4424.12, 2961.18, 1179.04]",0.5348,0.0995,0.116,4.8,10752.45,14847957.159999998,16.1
CP002,Rain Gardens,Flooding,Planted depressions that allow rainwater runoff to be absorbed,5,96729.68,19345.94,296,"[0.0, 24514.35, 35935.13, 28645.97, 7634.23]",0.5734,0.16,0.2821,1.42,1106.37,14847957.159999998,16.1
CP003,Beach Nourishment,"Storm Surge, Erosion",Adding sand to beaches to combat erosion and absorb wave energy,10,141162.69,14116.27,467,"[0.0, 7530.57, 14229.37, 19362.64, 22380.85, 22982.9, 21150.49, 17148.7, 11492.67, 4884.5]",0.4357,0.0533,0.3104,4.79,2306.83,14847957.159999998,16.1
CP004,Community Shelters,All Hazards,Reinforced buildings designed to withstand extreme weather,33,6177507.65,187197.2,4190,"[0.0, 26641.24, 53047.32, 78985.26, 104226.53, 128549.12, 151739.68, 173595.51, 193926.44, 212556.64, 229326.28, 244092.97, 256733.12, 267143.08, 275240.11, 280963.09, 284273.13, 285153.85, 283611.52, 279674.98, 273395.32, 264845.33, 254118.81, 241329.61, 226610.53, 210111.98, 192000.57, 172457.43, 151676.48, 129862.54, 107229.35, 83997.51, 60392.33]",0.188,0.0715,0.2322,7.72,95.0,14847957.159999998,16.1
CP005,Breakwaters,Storm Surge,Offshore structures that reduce wave energy before it reaches shore,21,4305943.67,205044.94,3745,"[0.0, 47341.15, 93613.97, 137775.81, 178834.83, 215873.8, 248072.1, 274725.39, 295262.39, 309258.41, 316445.36, 316717.8, 310135.17, 296919.87, 277451.44, 252256.87, 221997.32, 187451.6, 149496.79, 109086.48, 67227.15]",0.3926,0.1385,0.2403,5.34,113.05,14847957.159999998,16.1
CP006,Flood Warning Systems,"Flooding, All Hazards",Early warning systems to alert residents of potential flooding,1,46238.6,46238.6,1497,[46238.6],0.6846,0.1891,0.2942,5.0,8811.57,14847957.159999998,16.1
CP007,Bioswales,Flooding,Landscape elements designed to remove silt and pollution from runoff water,6,12571.43,2095.24,427,"[0.0, 2094.36, 3457.87, 3632.05, 2599.85, 787.31]",0.5605,0.0845,0.3385,2.81,15725.69,14847957.159999998,16.1
CP008,Breakwaters,Storm Surge,Offshore structures that reduce wave energy before it reaches shore,15,8298715.77,553247.72,1168,"[0.0, 185187.43, 361866.17, 521944.38, 658143.26, 764352.55, 835927.91, 869915.25, 865190.86, 822510.45, 744464.75, 635343.92, 500917.67, 348142.27, 184808.91]",0.4946,0.1502,0.3431,1.64,18.74,14847957.159999998,16.1
CP009,Breakwaters,Storm Surge,Offshore structures that reduce wave energy before it reaches shore,23,14767223.1,642053.18,319,"[0.0, 134321.53, 266136.95, 392990.0, 512523.12, 622524.29, 720970.96, 806070.08, 876293.53, 930408.24, 967500.22, 986992.26, 988654.73, 972609.45, 939326.4, 889613.4, 824599.02, 745709.03, 654636.8, 553308.46, 443843.24, 328510.09, 209681.3]",0.3868,0.1794,0.2395,2.01,9.95,14847957.159999998,16.1
CP010,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,5,108395.85,21679.17,140,"[0.0, 27470.93, 40269.12, 32100.84, 8554.96]",0.5397,0.1294,0.0867,2.31,1452.93,14847957.159999998,16.1
CP011,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,11,1734072.33,157642.94,179,"[0.0, 75205.3, 143667.96, 199290.1, 237200.68, 254218.14, 249148.81, 222892.16, 178342.78, 120099.08, 54007.3]",0.7293,0.1371,0.3034,2.11,84.6,14847957.159999998,16.1
CP012,Floodwalls,Flooding,Permanent barriers designed to prevent floodwaters from reaching properties,5,192422.91,38484.58,343,"[0.0, 48766.04, 71485.22, 56985.0, 15186.66]",0.579,0.1296,0.1545,3.19,1161.42,14847957.159999998,16.1
CP013,Seawalls,"Storm Surge, Erosion",Concrete or stone walls that protect against wave action,6,1190829.22,198471.54,341,"[0.0, 198388.73, 327546.54, 344045.52, 246270.63, 74577.8]",0.3889,0.1254,0.1915,5.56,317.56,14847957.159999998,16.1
CP014,Hurricane Shutters,Wind,Protective coverings for windows and doors during storms,7,198867.81,28409.69,141,"[0.0, 23364.43, 41003.27, 48688.66, 44789.31, 30678.49, 10343.65]",0.4645,0.03,0.1996,1.96,659.95,14847957.159999998,16.1
CP015,Rain Gardens,Flooding,Planted depressions that allow rainwater runoff to be absorbed,2,55997.89,27998.95,172,"[0.0, 55997.89]",0.4756,0.0728,0.2235,0.53,701.45,14847957.159999998,16.1
CP016,Retention Ponds,Flooding,Artificial ponds that store stormwater runoff,1,178932.5,178932.5,63,[178932.5],0.5111,0.0829,0.2196,2.23,830.59,14847957.159999998,16.1
CP017,Flood-Resistant Materials,Flooding,Building materials that can withstand flood exposure,11,176644.57,16058.6,49,"[0.0, 7660.93, 14635.01, 20301.07, 24162.9, 25896.41, 25380.02, 22705.33, 18167.23, 12234.12, 5501.56]",0.7297,0.1823,0.1712,0.94,366.57,14847957.159999998,16.1
CP018,Dune Restoration,"Storm Surge, Wind",Rebuilding and stabilizing sand dunes to protect coastal areas,30,963431.06,32114.37,2645,"[0.0, 5055.58, 10056.84, 14950.06, 19682.78, 24204.38, 28466.63, 32424.3, 36035.63, 39262.83, 42072.48, 44435.96, 46329.72, 47735.58, 48640.91, 49038.78, 48928.02, 48313.23, 47204.73, 45618.38, 43575.46, 41102.35, 38230.24, 34994.76, 31435.55, 27595.79, 23521.69, 19261.94, 14867.17, 10389.29]",0.7426,0.0583,0.3301,5.22,431.36,14847957.159999998,16.1
